OrderBy,player1,player1,player1_score,player2_score,Event,winner
187,Baddy,Sett,10,2,Season 2,Baddy
186,Habaduba,VileMuffin,5,3,Season 2,Habaduba
185,LozKias,Lyonide,5,4,Season 2,LozKias
184,Domitto,Andyroo,10,3,Season 2,Domitto
183,Zanaken,MonkeyKing,5,2,Season 2,Zanaken
182,Carriacou,Ol[d]cadan,5,3,Season 2,Carriacou
181,Polosaty,Vincent,5,4,Season 2,Polosaty
180,Sams,Baddy,10,5,Season 2,Sams
179,Hazu,Dzing,5,1,Season 2,Hazu
178,Stray,ETS,5,4,Season 2,Stray
177,The Arpeggiator,Nickvold,5,0,Season 2,The Arpeggiator
176,Ceiwen,VileMuffin,5,1,Season 2,Ceiwen
175,WorldBranstar,Aby,5,2,Season 2,WorldBranstar
174,Rosa,Zaydan,5,0,Season 2,Rosa
173,Tadlos,Momotehk,5,0,Season 2,Tadlos
172,Myloes,Sett,5,3,Season 2,Myloes
171,Tadlos,TapiocaKing,5,2,Season 2,Tadlos
170,Graveryl,Unicorn,5,1,Season 2,Graveryl
169,Pikapi,Ryuki,5,4,Season 2,Pikapi
168,Aarpia,D3xus,10,5,Season 2,Aarpia
167,Habaduba,Lyonide,5,3,Season 2,Habaduba
166,Sonder,Finzy,5,2,Season 2,Sonder
165,Valhanya,Jazair,5,0,Season 2,Valhanya
164,Baddy,Habaduba,10,3,Season 2,Baddy
163,Zollith,Aby,5,0,Season 2,Zollith
162,Doktai,PanPan,5,1,Season 2,Doktai
161,Tadlos,SiloZen,5,0,Season 2,Tadlos
160,VileMuffin,Ventras,5,4,Season 2,VileMuffin
159,Lyonide,Graveryl,5,4,Season 2,Lyonide
158,ETS,Polosaty,5,2,Season 2,ETS
157,Finzy,Pikapi,5,4,Season 2,Finzy
156,HolyCarp,Sett,5,1,Season 2,HolyCarp
155,LozKias,Algernon,5,4,Season 2,LozKias
154,Darxy,Hazu,5,0,Season 2,Darxy
153,Sonder,Ryuki,5,0,Season 2,Sonder
152,Guilu,Zanaken,5,3,Season 2,Guilu
151,Ventras,Lyonide,5,4,Season 2,Ventras
150,Graveryl,Zephyrion,5,1,Season 2,Graveryl
149,Dzing,Vincent,5,4,Season 2,Dzing
148,Andyroo,Baddy,10,8,Season 2,Andyroo
147,VileMuffin,MonkeyKing,5,3,Season 2,VileMuffin
146,PanPan,Sekirei,5,2,Season 2,PanPan
145,ETS,Nickvold,5,1,Season 2,ETS
144,D3xus,Domitto,5,1,Season 2,D3xus
143,Habaduba,LozKias,5,3,Season 2,Habaduba
142,Polosaty,Finzy,5,2,Season 2,Polosaty
141,Sonder,Pikapi,5,0,Season 2,Sonder
140,Habaduba,Ventras,5,4,Season 2,Habaduba
139,PanPan,Volty,5,4,Season 2,PanPan
138,LozKias,Doktai,5,4,Season 2,LozKias
137,Tadlos,Nickvold,5,0,Season 2,Tadlos
136,Baddy,Algernon,10,8,Season 2,Baddy
135,Lyonide,Taz,5,3,Season 2,Lyonide
134,Zephyrion,Stray,5,2,Season 2,Zephyrion
133,MonkeyKing,Polosaty,5,1,Season 2,MonkeyKing
132,EOS Special Event,,,,Season 2,0
131,Aelz,D3xus,10,5,Season 2,Aelz
130,Aarpia,ZER0,5,0,Season 2,Aarpia
129,ZappySoyou,Sett,5,2,Season 2,ZappySoyou
128,Aelz,Ssylus,10,9,Season 2,Aelz
127,Lyonide,Aby,5,3,Season 2,Lyonide
126,Stray,Sonder,5,3,Season 2,Stray
125,Habaduba,Blade of Flame,5,0,Season 2,Habaduba
124,Algernon,MonkeyKing,5,1,Season 2,Algernon
123,Polosaty,Sonder,5,1,Season 2,Polosaty
122,Prizvel,Kreozot,5,3,Season 2,Prizvel
121,Ol[d]cadan,Nickvold,5,0,Season 2,Ol[d]cadan
120,Baddy,VileMuffin,5,4,Season 2,Baddy
119,Ventras,Mozarus,5,1,Season 2,Ventras
118,Zephyrion,Volty,5,2,Season 2,Zephyrion
117,PanPan,Fergus,5,2,Season 2,PanPan
116,Sett,Baddy,10,8,Season 2,Sett
115,Aby,Zephyrion,5,3,Season 2,Aby
114,Lyonide,Dzing,5,4,Season 2,Lyonide
113,Neon,ZappySoyou,5,2,Season 2,Neon
112,MonkeyKing,Mozarus,5,2,Season 2,MonkeyKing
111,Carnhulio,dopppa,5,3,Season 2,Carnhulio
110,Ennvill,Prizvel,5,4,Season 2,Ennvill
109,Domitto,ZER0,5,4,Season 2,Domitto
108,Doktai,Graveryl,5,3,Season 2,Doktai
107,Algernon,Ceiwen,5,2,Season 2,Algernon
106,Momotehk,The Arpeggiator,5,0,Season 2,Momotehk
105,VileMuffin,Habaduba,5,1,Season 2,VileMuffin
104,Ventras,Volty,5,0,Season 2,Ventras
103,Polosaty,TapiocaKing,5,0,Season 2,Polosaty
102,Ryuki,Tadlos,5,3,Season 2,Ryuki
101,Aelz,Domitto,10,5,Season 2,Aelz
100,Mozarus,Hazu,5,3,Season 2,Mozarus
99,Volty,Carriacou,5,3,Season 2,Volty
98,Stray,polosaty,5,4,Season 2,Stray
97,D3xus,Aarpia,10,7,Season 2,D3xus
96,Sett,Habaduba,5,3,Season 2,Sett
95,Blade of Flame,Jazair,5,3,Season 2,Blade of Flame
94,Aby,The Arpeggiator,5,3,Season 2,Aby
93,DarthSeppius,Baddy,10,9,Season 2,DarthSeppius
92,Graveryl,Rosa,5,1,Season 2,Graveryl
91,Yaj-Ly,PanPan,5,4,Season 2,Yaj-Ly
90,Ventras,Taokaka Meow,5,0,Season 2,Ventras
89,Yin,Andyroo,10,7,Season 2,Yin
88,Danurai,Aby,5,4,Season 2,Danurai
87,HawkOfGP,Carriacou,5,1,Season 2,HawkOfGP
86,SHARK,TapiocaKing,5,2,Season 2,SHARK
85,D3xus,Ganondeurf,10,5,Season 1,D3xus
84,Ssylus,Domitto,5,3,Season 1,Ssylus
83,Aelz,ZappySoyou,5,1,Season 1,Aelz
82,Baddy,Guilu,10,4,Season 1,Baddy
81,Sett,Valhanya,5,2,Season 1,Sett
80,Neon,Habaduba,10,8,Season 1,Neon
79,Zaydan,Taokaka Meow,5,4,Season 1,Zaydan
78,Hazu,Zollith,5,0,Season 1,Hazu
77,PanPan,Momotehk,5,4,Season 1,PanPan
76,Ceiwen,Azizure,5,1,Season 1,Ceiwen
75,LozKias,Taz,5,2,Season 1,LozKias
74,VileMuffin,Ventras,5,4,Season 1,VileMuffin
73,Prizvel,Vegasvat,5,1,Season 1,Prizvel
72,Rufus,DarthSeppius,10,1,Season 1,Rufus
71,Zanaken,Volty,5,1,Season 1,Zanaken
70,Yaj-Ly,Ryuki,5,1,Season 1,Yaj-Ly
69,polosaty,Ennvill,5,3,Season 1,polosaty
68,Algernon,dopppa,5,2,Season 1,Algernon
67,MonkeyKing,Graveryl,5,3,Season 1,MonkeyKing
66,Stray,Nickvold,5,0,Season 1,Stray
